t,x,y
0,7.75E-03,0.00E+00
0.25,1.61E-01,0.00E+00
0.5,5.04E-01,0.00E+00
1,2.20E+00,0.00E+00
2,2.39E+00,9.19E-03
4,2.44E+00,8.20E-03
6,2.45E+00,8.39E-03
8,2.51E+00,8.71E-03
10,2.52E+00,9.25E-03
12,2.50E+00,1.95E-02
15,2.50E+00,1.95E-02
18,2.49E+00,2.98E-02
21,2.48E+00,5.03E-02
24,2.46E+00,6.06E-02
27,2.45E+00,6.73E-02
30,2.44E+00,8.04E-02
34,2.44E+00,9.14E-02
38,2.42E+00,1.12E-01
42,2.43E+00,9.75E-02
46,2.41E+00,1.11E-01
50,2.41E+00,1.09E-01
54,2.41E+00,1.19E-01
58,2.39E+00,1.29E-01
62,2.40E+00,1.28E-01
66,2.39E+00,1.37E-01
70,2.39E+00,1.38E-01
74,2.39E+00,1.33E-01
78,2.39E+00,1.40E-01
82,2.38E+00,1.40E-01
