t,x(t),y(t)
0,29.47784114,29.74375655
1,37.75602508,24.38866531
2,48.10007267,32.06086333
3,53.00558377,30.82507305
4,63.48693827,31.90638955
5,74.38131821,34.99586526
6,77.49705241,50.70070015
7,77.92775304,56.36473896
8,67.68936634,65.58167484
9,49.53429053,69.7009758
10,39.64009169,76.65229616
11,31.81028358,72.32703016
12,25.01377552,73.6143117
13,18.90490673,63.16158553
14,19.26676978,57.08561663
15,13.50282532,54.8200011
16,15.17297049,45.39710017
17,14.43380062,41.38078174
18,22.02434529,34.42946138
19,19.42619271,28.66244005
20,26.60371195,29.22884393
21,32.4041115,26.39682452
22,37.51613531,26.86024588
23,51.8523939,26.34533326
24,61.09430385,31.49445945
